pos,corr_resp,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,probe.stopped,participant,session,date,expName,psychopyVersion,frameRate,,sequential rt,random rt,,,,
150,v,0,0,0,0,10,1,41,1,,,,,113.2946398,114.2945348,114.2945348,114.2945348,114.2945348,114.2945348,115.2946228,115.2946228,v,1,0.5488973,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.4054157,0.5488973,,,,
-150,z,0,0,0,0,10,2,42,3,,,,,115.8613384,116.8611289,116.8611289,116.8611289,116.8611289,116.8611289,117.8606292,117.8606292,z,1,0.505966,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.4170643,0.505966,,,,
150,v,0,0,0,0,10,3,43,1,,,,,118.3940267,119.3943044,119.3943044,119.3943044,119.3943044,119.3943044,120.3939897,120.3939897,v,1,0.5336206,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3051278,0.5336206,,,,
150,v,0,0,0,0,11,0,44,1,,,,,120.9439714,121.9437374,121.9437374,121.9437374,121.9437374,121.9437374,122.9436925,122.9436925,v,1,0.4996877,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3869283,0.4996877,,,,
150,v,0,0,0,0,11,1,45,1,,,,,123.4602525,124.4600584,124.4600584,124.4600584,124.4600584,124.4600584,125.4599934,125.4599934,v,1,0.4789946,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3286621,0.4789946,,,,
50,c,0,0,0,0,11,2,46,2,,,,,125.9595864,126.9431528,126.9431528,126.9431528,126.9431528,126.9596833,127.9591894,127.9591894,c,1,0.7630994,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3138693,0.7630994,,,,
50,c,0,0,0,0,11,3,47,2,,,,,128.7428106,129.7429784,129.7429784,129.7429784,129.7429784,129.7429784,130.7425729,130.7425729,c,1,0.4515024,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2351182,0.4515024,,,,
-150,z,0,0,0,0,12,0,48,3,,,,,131.2258722,132.2257313,132.2257313,132.2257313,132.2257313,132.2257313,133.2256629,133.2256629,z,1,0.3774355,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3903669,0.3774355,,,,
50,c,0,0,0,0,12,1,49,2,,,,,133.6251908,134.6252663,134.6252663,134.6252663,134.6252663,134.6252663,135.6250034,135.6250034,c,1,0.4812332,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.4430367,0.4812332,,,,
150,v,0,0,0,0,12,2,50,1,,,,,136.1249628,137.125019,137.125019,137.125019,137.125019,137.125019,138.1246069,138.1246069,v,1,0.3651352,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2823733,0.3651352,,,,
150,v,0,0,0,0,12,3,51,1,,,,,138.5082847,139.5076961,139.5076961,139.5076961,139.5076961,139.5076961,140.5080084,140.5080084,v,1,0.3617641,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2856039,0.3617641,,,,
150,v,0,0,0,0,13,0,52,1,,,,,140.8912123,141.891168,141.891168,141.891168,141.891168,141.891168,142.8909617,142.8909617,v,1,0.3531771,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3917058,0.3531771,,,,
50,c,0,0,0,0,13,1,53,2,,,,,143.274234,144.2740412,144.2740412,144.2740412,144.2740412,144.2740412,145.2740422,145.2740422,c,1,0.4856442,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2990191,0.4856442,,,,
-150,z,0,0,0,0,13,2,54,3,,,,,145.7905279,146.7904738,146.7904738,146.7904738,146.7904738,146.7904738,147.7904346,147.7904346,z,1,0.3940451,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3778435,0.3940451,,,,
50,c,0,0,0,0,13,3,55,2,,,,,148.2070935,149.2068663,149.2068663,149.2068663,149.2068663,149.2068663,150.2065637,150.2065637,c,1,0.4140952,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3087522,0.4140952,,,,
50,c,0,0,0,0,14,0,56,2,,,,,150.6399147,151.6400551,151.6400551,151.6400551,151.6400551,151.6400551,152.6394947,152.6394947,c,1,0.3561449,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3955439,0.3561449,,,,
50,c,0,0,0,0,14,1,57,2,,,,,153.0230063,154.0229717,154.0229717,154.0229717,154.0229717,154.0229717,155.0227396,155.0227396,c,1,0.3210777,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.405332,0.3210777,,,,
-150,z,0,0,0,0,14,2,58,3,,,,,155.3725348,156.3727822,156.3727822,156.3727822,156.3727822,156.3727822,157.3722007,157.3722007,z,1,0.409471,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3368892,0.409471,,,,
50,c,0,0,0,0,14,3,59,2,,,,,157.8056188,158.8056354,158.8056354,158.8056354,158.8056354,158.8056354,159.8055765,159.8055765,c,1,0.3791381,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2749572,0.3791381,,,,
-150,z,0,0,0,0,15,0,60,3,,,,,160.2054086,161.2050656,161.2050656,161.2050656,161.2050656,161.2050656,162.2053443,162.2053443,z,1,0.4427871,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.4678194,0.4427871,,,,
-50,x,0,0,0,0,15,1,61,0,,,,,162.6716609,163.6717913,163.6717913,163.6717913,163.6717913,163.6717913,164.6714695,164.6714695,x,1,0.4818195,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2731548,0.4818195,,,,
